"","index:ID","actordata",":LABEL"
"148",30148,"劳伦斯·哈维","演員"
"149",30149,"海伦·海丝","演員"
"150",30150,"路易·茹韦","演員"
"151",30151,"安娜·马尼亚尼","演員"
"152",30152,"西尔瓦娜·曼加诺","演員"
"153",30153,"马塞洛·马斯楚安尼","演員"
"154",30154,"阿梅德奥·纳扎里","演員"
"155",30155,"苏济·普里姆","演員"
"156",30156,"唐娜·里德","演員"
"157",30157,"简·拉塞尔","演員"
"158",30158,"罗莎琳德·拉塞尔","演員"
"159",30159,"伊冯娜·桑松","演員"
"160",30160,"玛丽亚·雪儿","演員"
"161",30161,"瑙玛·希拉","演員"
"162",30162,"西蒙·西涅莱","演員"
"163",30163,"阿尔贝托·索尔迪","演員"
"164",30164,"詹姆斯·斯图尔特","演員"
"165",30165,"朱塞佩·托纳多雷","演員"
"166",30166,"托托","演員"
"167",30167,"斯宾塞·屈塞","演員"
"168",30168,"克莱尔·特雷弗","演員"
"169",30169,"鲁道夫·瓦伦蒂诺","演員"
"170",30170,"阿莉达·瓦利","演員"
"171",30171,"约翰·韦恩","演員"
"172",30172,"姜文","演員"
"173",30173,"香川照之","演員"
"174",30174,"袁丁","演員"
"175",30175,"姜宏波","演員"
"176",30176,"丛志军","演員"
"177",30177,"喜子","演員"
"178",30178,"泽田谦也","演員"
"179",30179,"李海滨","演員"
"180",30180,"蔡卫东","演員"
"181",30181,"陈述","演員"
"182",30182,"陈莲梅","演員"
"183",30183,"史建全","演員"
"184",30184,"陈强","演員"
"185",30185,"宫路佳具","演員"
"186",30186,"吴大维","演員"
"187",30187,"梶冈润一","演員"
"188",30188,"石山雄大","演員"
"189",30189,"述平","演員"
"190",30190,"维果·莫腾森","演員"
"191",30191,"伊莱贾·伍德","演員"
"192",30192,"西恩·奥斯汀","演員"
"193",30193,"丽芙·泰勒","演員"
"194",30194,"伊恩·麦克莱恩","演員"
"195",30195,"奥兰多·布鲁姆","演員"
"196",30196,"凯特·布兰切特","演員"
"197",30197,"米兰达·奥图","演員"
"198",30198,"安迪·瑟金斯","演員"
"199",30199,"雨果·维文","演員"
"200",30200,"多米尼克·莫纳汉","演員"
"201",30201,"比利·博伊德","演員"
"202",30202,"马尔顿·索克斯","演員"
"203",30203,"卡尔·厄本","演員"
"204",30204,"克里斯托弗·李","演員"
"205",30205,"约翰·瑞斯-戴维斯","演員"
"206",30206,"亨利·方达","演員"
"207",30207,"马丁·鲍尔萨姆","演員"
"208",30208,"约翰·菲德勒","演員"
"209",30209,"李·科布","演員"
"210",30210,"E.G.马绍尔","演員"
"211",30211,"杰克·克卢格曼 ","演員"
"212",30212,"爱德华·宾斯","演員"
"213",30213,"杰克·瓦尔登","演員"
"214",30214,"约瑟夫·史威尼","演員"
"215",30215,"埃德·贝格利","演員"
"216",30216,"乔治·沃斯科维奇","演員"
"217",30217,"罗伯特·韦伯","演員"
"218",30218,"田中真弓","演員"
"219",30219,"横泽启子","演員"
"220",30220,"初井言荣","演員"
"221",30221,"寺田农","演員"
"222",30222,"常田富士男","演員"
"223",30223,"永井一郎","演員"
"224",30224,"糸博","演員"
"225",30225,"鹫尾真知子","演員"
"226",30226,"神山卓三","演員"
"227",30227,"安原义人","演員"
"228",30228,"槐柳二","演員"
"229",30229,"鳕子","演員"
"230",30230,"阿米尔·汗","演員"
"231",30231,"法缇玛·萨那·纱卡","演員"
"232",30232,"桑亚·玛荷塔","演員"
"233",30233,"阿帕尔夏克提·库拉那","演員"
"234",30234,"沙克希·坦沃","演員"
"235",30235,"塞伊拉·沃西","演員"
"236",30236,"苏哈妮·巴特纳格尔","演員"
"237",30237,"里特维克·萨霍里","演員"
"238",30238,"吉里什·库卡尼","演員"
"239",30239,"爱德华·阿斯纳","演員"
"240",30240,"克里斯托弗·普卢默","演員"
"241",30241,"乔丹·长井","演員"
"242",30242,"鲍勃·彼德森","演員"
"243",30243,"戴尔里·林多","演員"
"244",30244,"杰罗姆·兰福特","演員"
"245",30245,"约翰·拉岑贝格","演員"
"246",30246,"大卫·卡耶","演員"
"247",30247,"艾丽·道克特","演員"
"248",30248,"杰里米·利里","演員"
"249",30249,"米凯·麦高万","演員"
"250",30250,"丹尼·曼恩","演員"
"251",30251,"唐纳德·富利洛夫","演員"
"252",30252,"杰斯·哈梅尔","演員"
"253",30253,"乔什·库雷","演員"
"254",30254,"彼特·道格特","演員"
"255",30255,"周星驰","演員"
"256",30256,"吴孟达","演員"
"257",30257,"罗家英","演員"
"258",30258,"蓝洁瑛","演員"
"259",30259,"莫文蔚","演員"
"260",30260,"江约诚","演員"
"261",30261,"陆树铭","演員"
"262",30262,"刘镇伟","演員"
"263",30263,"朱茵","演員"
"264",30264,"李健仁","演員"
"265",30265,"爱德华·诺顿","演員"
"266",30266,"布拉德·皮特","演員"
"267",30267,"海伦娜·伯翰·卡特","演員"
"268",30268,"扎克·格雷尼尔","演員"
"269",30269,"米特·洛夫","演員"
"270",30270,"杰瑞德·莱托","演員"
"271",30271,"艾恩·贝利","演員"
"272",30272,"里奇蒙德·阿奎特 ","演員"
"273",30273,"乔治·马奎尔","演員"
"274",30274,"奥黛丽·赫本","演員"
"275",30275,"格利高里·派克","演員"
"276",30276,"埃迪·艾伯特","演員"
"277",30277,"哈特利·鲍尔","演員"
"278",30278,"哈考特·威廉姆斯","演員"
"279",30279,"Margaret Rawlings","演員"
"280",30280,"托里奥·卡米纳提","演員"
"281",30281,"Paolo Carlini","演員"
"282",30282,"Claudio Ermelli","演員"
"283",30283,"保拉·布鲁布尼","演員"
"284",30284,"里佐·弗雷多里佐","演員"
"285",30285,"Laura Solari","演員"
"286",30286,"Gorella Gori","演員"
"287",30287,"Armando Annuale","演員"
"288",30288,"Maurizio Arena","演員"
"289",30289,"Silvio Bagolini","演員"
"290",30290,"Gildo Bocci","演員"
"291",30291,"Franco Corsaro","演員"
"292",30292,"John Cortay","演員"
"293",30293,"Vittoria Crispo","演員"
"294",30294,"Sidney Gordon","演員"
"295",30295,"Luigi Moneta","演員"
"296",30296,"Piero Pastore","演員"
"297",30297,"Mimmo Poli","演員"
"298",30298,"Carlo Rizzo","演員"
"299",30299,"Gianna Segale","演員"
"300",30300,"Amedeo Trilli","演員"
"301",30301,"Helen Tubbs","演員"
"302",30302,"Marco Tulli","演員"
"303",30303,"Joop van Hulzen","演員"
"304",30304,"Catherine Wyler","演員"
"305",30305,"Judy Wyler","演員"
"306",30306,"倍赏千惠子","演員"
"307",30307,"木村拓哉","演員"
"308",30308,"美轮明宏","演員"
"309",30309,"我修院达也","演員"
"310",30310,"神木隆之介","演員"
"311",30311,"伊崎充则","演員"
"312",30312,"大泉洋","演員"
"313",30313,"大塚明夫","演員"
"314",30314,"原田大二郎","演員"
"315",30315,"加藤治子","演員"
"316",30316,"都筑香弥子","演員"
"317",30317,"阿尔·帕西诺","演員"
"318",30318,"克里斯·奥唐纳","演員"
"319",30319,"詹姆斯·瑞布霍恩","演員"
"320",30320,"加布里埃尔·安瓦尔","演員"
"321",30321,"菲利普·塞默·霍夫曼","演員"
"322",30322,"理查德·文彻","演員"
"323",30323,"布莱德利·惠特福德","演員"
"324",30324,"罗谢尔·奥利弗","演員"
"325",30325,"Margaret Eginton","演員"
"326",30326,"Tom Riis Farrell","演員"
"327",30327,"Nicholas Sadler","演員"
"328",30328,"托德·路易斯","演員"
"329",30329,"马特·史密斯","演員"
"330",30330,"吉恩·坎菲尔德","演員"
"331",30331,"弗兰西丝·康罗伊","演員"
"332",30332,"宋康昊","演員"
"333",30333,"吴达洙","演員"
"334",30334,"金英爱","演員"
"335",30335,"郭度沅","演員"
"336",30336,"任时完","演員"
"337",30337,"乌尔里希·穆埃","演員"
"338",30338,"马蒂娜·格德克","演員"
"339",30339,"塞巴斯蒂安·科赫","演員"
"340",30340,"乌尔里希·图库尔","演員"
"341",30341,"托马斯·蒂梅","演員"
"342",30342,"汉斯-尤韦·鲍尔","演員"
"343",30343,"沃克马·克莱纳特","演員"
"344",30344,"马提亚斯·布伦纳","演員"
"345",30345,"查理·哈纳","演員"
"346",30346,"赫伯特·克瑙普","演員"
"347",30347,"巴斯蒂安·特罗斯特","演員"
"348",30348,"玛丽·格鲁伯","演員"
"349",30349,"维尔纳·德恩","演員"
"350",30350,"马丁·布拉巴赫","演員"
"351",30351,"托马斯·阿诺德","演員"
"352",30352,"辛纳克·勋纳曼","演員"
"353",30353,"路德韦格·布洛克伯格","演員"
"354",30354,"迈克尔·格伯","演員"
"355",30355,"吉塔·施维赫夫","演員"
"356",30356,"希尔德加德·斯罗德","演員"
"357",30357,"伊嘉·比肯费尔德","演員"
"358",30358,"凯·伊沃·保利兹","演員"
"359",30359,"克劳斯·芒斯特","演員"
"360",30360,"尊龙","演員"
"361",30361,"陈冲","演員"
"362",30362,"邬君梅","演員"
"363",30363,"彼得·奥图尔","演員"
"364",30364,"英若诚","演員"
"365",30365,"吴涛","演員"
"366",30366,"黄自强","演員"
"367",30367,"丹尼斯·邓恩","演員"
"368",30368,"坂本龙一","演員"
"369",30369,"马吉·汉","演員"
"370",30370,"里克·扬","演員"
"371",30371,"田川洋行","演員"
"372",30372,"苟杰德","演員"
"373",30373,"理查德·吴","演員"
"374",30374,"皱缇格","演員"
"375",30375,"陈凯歌","演員"
"376",30376,"卢燕","演員"
"377",30377,"区亨利","演員"
"378",30378,"樊光耀","演員"
"379",30379,"鲍皓昕","演員"
"380",30380,"黄文捷","演員"
"381",30381,"邵茹贞","演員"
"382",30382,"亨利·基","演員"
"383",30383,"张良斌","演員"
"384",30384,"梁冬","演員"
"385",30385,"康斯坦丁·格雷戈里","演員"
"386",30386,"黄汉琪","演員"
"387",30387,"王涛","演員"
"388",30388,"宋怀桂","演員"
"389",30389,"蔡鸿翔","演員"
"390",30390,"程淑艳","演員"
"391",30391,"张天民","演員"
"392",30392,"杰森·弗莱明","演員"
"393",30393,"德克斯特·弗莱彻","演員"
"394",30394,"尼克·莫兰","演員"
