"","index:ID","directordata",":LABEL"
"154",40154,"汤姆·霍珀","導演"
"155",40155,"斯蒂芬·卓博斯基","導演"
"156",40156,"乔治·米勒","導演"
"157",40157,"罗伯·莱纳","導演"
"158",40158,"萨姆·门德斯","導演"
"159",40159,"周申","導演"
"160",40160,"罗伯特·泽米吉斯","導演"
"161",40161,"吕克·贝松","導演"
"162",40162,"杜琪峰","導演"
"163",40163,"陆庆屹","導演"
"164",40164,"朴勋政","導演"
"165",40165,"奥利维埃·纳卡什","導演"
"166",40166,"陈凯歌","導演"
"167",40167,"罗伯托·贝尼尼","導演"
"168",40168,"拉斯·霍尔斯道姆","導演"
"169",40169,"安德鲁·斯坦顿","導演"
"170",40170,"拉吉库马尔·希拉尼","導演"
"171",40171,"克里斯托夫·巴拉蒂","導演"
"172",40172,"黄东赫","導演"
"173",40173,"刘伟强","導演"
"174",40174,"拜伦·霍华德","導演"
"175",40175,"加布里埃莱·穆奇诺","導演"
